molecule_chembl_id,type,standard_units,standard_value,smiles
CHEMBL3758981,Ki,nM,519.0,CN(c1nc(-c2cn[nH]c2)nc2c1COC2(C)C)c1n[nH]c2ccccc12
CHEMBL3759442,Ki,nM,85.0,CC1(C)OCc2c(Oc3n[nH]c4ccccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3759761,Ki,nM,104.0,CC1(C)OCc2c(C(=O)c3n[nH]c4ccccc34)nc(-c3cn[nH]c3)nc21
CHEMBL3759696,Ki,nM,732.0,CC1(C)OCc2c(Nc3n[nH]c4ccccc34)nc(-c3c[nH]nn3)nc21
CHEMBL3759135,Ki,nM,5.6,CC1(C)OCc2c(Nc3n[nH]c4ccccc34)nc(-c3cscn3)nc21
CHEMBL3760058,Ki,nM,175.0,CC1(C)OCc2c(Nc3n[nH]c4ccccc34)nc(-c3cc[nH]n3)nc21
CHEMBL3759096,Ki,nM,34.3,Cn1nccc1-c1nc(Nc2n[nH]c3ccccc23)c2c(n1)C(C)(C)OC2
CHEMBL3758739,Ki,nM,9.0,CC1(C)OCc2c(Nc3n[nH]c4c(Cl)cccc34)nc(-c3cn[nH]c3C(F)F)nc21
CHEMBL3353410,Ki,nM,3.2,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3787662,Ki,nM,2.0,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3[nH]ccc23)c1
CHEMBL3786453,Ki,nM,14.0,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccn(C)n3)nc3[nH]ccc23)c1
CHEMBL3786962,Ki,nM,3.0,C=CC(=O)Nc1cccc(Oc2nc(Nc3cnn(C)c3)nc3[nH]ccc23)c1
CHEMBL3787327,Ki,nM,590.0,C=CC(=O)N1CC[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]ccc23)C1
CHEMBL3785393,Ki,nM,35.0,C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]ccc23)[C@@H](C(F)(F)F)C1
CHEMBL3786858,Ki,nM,8.0,C=CC(=O)N1CC[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1
CHEMBL3786802,Ki,nM,3.0,C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](C(F)(F)F)C1
CHEMBL3787220,Ki,nM,3.0,C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](F)C1
CHEMBL3786220,Ki,nM,8.0,C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](O)C1
CHEMBL3786647,Ki,nM,15.0,C=CC(=O)N1C[C@H](CO)[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1
CHEMBL3786523,Ki,nM,4.0,C=CC(=O)N1C[C@H](COC)[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1
CHEMBL3787132,Ki,nM,32.0,C=CC(=O)N1C[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@H](OC)C1
CHEMBL3787386,Ki,nM,2.0,C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C
CHEMBL3786812,Ki,nM,10.0,C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1
CHEMBL3786098,Ki,nM,4.0,C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)[C@@H](OC)C1
CHEMBL31965,Ki,nM,0.11,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1
CHEMBL3883534,Ki,nM,0.14,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC
CHEMBL4098444,Ki,nM,57.0,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(-c4cn(C)c5ccccc45)ccc23)c(OC)cc1N(C)CCN(C)C
CHEMBL4068763,Ki,nM,3.9,C=CC(=O)Nc1cc(Nc2n[nH]c3cc(Nc4cccc(F)c4)ccc23)c(OC)cc1N(C)CCN(C)C
CHEMBL4089863,Ki,nM,105.0,C=CC(=O)Nc1cc(Nc2n[nH]c3ccc(-c4ccc5ccccc5c4)cc23)c(OC)cc1N(C)CCN(C)C
CHEMBL4071012,Ki,nM,0.38,C=CC(=O)NCCSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1
CHEMBL4098072,Ki,nM,0.1,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3-c3ccc(F)cc3)ccn2)c1
CHEMBL4100860,Ki,nM,0.03,C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(CCCO)nc3-c3ccc(F)cc3)ccn2)c1
CHEMBL3715932,Ki,nM,700.0,Nc1nc(NCc2ccccc2)c2c(n1)[nH]c1ccc(O)cc12
CHEMBL4094157,Ki,nM,640.0,Cc1cc2[nH]c3nc(N)nc(NCc4ccccc4)c3c2cc1O
CHEMBL4073523,Ki,nM,610.0,COc1cc2[nH]c3nc(N)nc(NCc4ccccc4)c3c2cc1O
CHEMBL4069965,Ki,nM,370.0,Nc1nc(NCc2ccccc2)c2c(n1)[nH]c1cc(Br)c(O)cc12
CHEMBL4090945,Ki,nM,270.0,Nc1nc(NCc2ccccc2)c2c(n1)[nH]c1cc(Cl)c(O)cc12
CHEMBL4080640,Ki,nM,90.0,Cc1ccc(CNc2nc(N)nc3[nH]c4ccc(O)cc4c23)cc1
CHEMBL4098682,Ki,nM,5670.0,Cc1ccc(CNc2nc(N)nc3[nH]c4cc(C)c(O)cc4c23)cc1
CHEMBL4099589,Ki,nM,120.0,COc1ccc(CNc2nc(N)nc3[nH]c4ccc(O)cc4c23)cc1
CHEMBL4072687,Ki,nM,5950.0,COc1ccc(CNc2nc(N)nc3[nH]c4cc(C)c(O)cc4c23)cc1
CHEMBL4061297,Ki,nM,80.0,Nc1nc(NCc2ccc(Cl)cc2)c2c(n1)[nH]c1ccc(O)cc12
CHEMBL4083162,Ki,nM,110.0,Cc1cc2[nH]c3nc(N)nc(NCc4ccc(Cl)cc4)c3c2cc1O
CHEMBL4084090,Ki,nM,1260.0,COc1cccc(CNc2nc(N)nc3[nH]c4ccc(O)cc4c23)c1
CHEMBL4102074,Ki,nM,1870.0,COc1ccccc1CNc1nc(N)nc2[nH]c3ccc(O)cc3c12
CHEMBL4091355,Ki,nM,4030.0,COc1ccccc1CNc1nc(N)nc2[nH]c3cc(C)c(O)cc3c12
CHEMBL4070420,Ki,nM,290.0,Nc1nc(NCc2cccc(Cl)c2)c2c(n1)[nH]c1ccc(O)cc12
CHEMBL4083567,Ki,nM,900.0,Cc1cc2[nH]c3nc(N)nc(NCc4cccc(Cl)c4)c3c2cc1O
CHEMBL4061797,Ki,nM,3680.0,COc1ccc(CNc2nc(N)nc3[nH]c4ccc(O)cc4c23)cc1OC
CHEMBL4060727,Ki,nM,640.0,Nc1nc(NCCc2ccccc2)c2c(n1)[nH]c1ccc(O)cc12
CHEMBL4088941,Ki,nM,910.0,C[C@@H](Nc1nc(N)nc2[nH]c3ccc(O)cc3c12)c1ccccc1
CHEMBL4099089,Ki,nM,520.0,C[C@H](Nc1nc(N)nc2[nH]c3ccc(O)cc3c12)c1ccccc1
CHEMBL4206604,Ki,nM,161.0,CC(=O)N1CC[C@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1
